id,first_name,last_name,age_group,gender,urban_rural,marital_status,education,religion,party,canton
4131,Claudia,Friedl,50-59,f,big_city,single,tertiary,catholic,SP,SG
4191,Benoît,Genecand,50-59,m,big_city,married,tertiary,unknown,FDP-Liberale,GE
91,Ulrich,Giezendanner,60-69,m,rural,married,unknown,protestant,SVP,AG
3882,Bastien,Girod,30-39,m,big_city,married,tertiary,unknown,GPS,ZH
1337,Ida,Glanzmann-Hunkeler,60-69,f,periurban,married,tertiary,catholic,CVP,LU
4161,Andreas,Glarner,50-59,m,periurban,divorced,tertiary,unknown,SVP,AG
4093,Balthasar,Glättli,40-49,m,big_city,married,secondary,undenominational,GPS,ZH
4096,Alois,Gmür,60-69,m,urban,married,tertiary,catholic,CVP,SZ
4116,Petra,Gössi,40-49,f,periurban,single,tertiary,catholic,FDP-Liberale,SZ
3921,Konrad,Graber,60-69,m,urban,married,tertiary,catholic,CVP,LU
806,Maya,Graf,50-59,f,periurban,married,tertiary,protestant,GPS,BL
3885,Jean-Pierre,Grin,above 70,m,rural,married,tertiary,unknown,SVP,VD
4162,Franz,Grüter,50-59,m,rural,married,tertiary,unknown,SVP,LU
1106,Brigitte,Häberli-Koller,60-69,f,periurban,married,secondary,catholic,CVP,TG
3916,Claude,Hêche,60-69,m,urban,widowed,secondary,catholic,SP,JU
3887,Alfred,Heer,50-59,m,big_city,divorced,tertiary,unknown,SVP,ZH
4139,Thomas,Hefti,50-59,m,rural,married,tertiary,protestant,FDP-Liberale,GL
4163,Erich,Hess,30-39,m,big_city,single,secondary,unknown,SVP,BE
4145,Werner,Hösli,50-59,m,rural,married,tertiary,protestant,SVP,GL
4032,Beat,Jans,50-59,m,big_city,married,tertiary,unknown,SP,BS
3891,Daniel,Jositsch,50-59,m,urban,divorced,tertiary,unknown,SP,ZH
4098,Peter,Keller,40-49,m,periurban,unknown,tertiary,catholic,SVP,NW
4166,Roger,Köppel,50-59,m,urban,married,tertiary,unknown,SVP,ZH
540,Filippo,Lombardi,60-69,m,urban,unknown,tertiary,unknown,CVP,TI
3895,Christian,Lüscher,50-59,m,urban,married,tertiary,unknown,FDP-Liberale,GE
3923,Ada,Marra,40-49,f,big_city,unknown,tertiary,catholic,SP,VD
4197,Min Li,Marti,40-49,f,big_city,married,tertiary,unknown,SP,ZH
4228,Samira,Marti,below 29,f,urban,single,tertiary,protestant,SP,BL
4167,Magdalena,Martullo-Blocher,50-59,f,urban,married,tertiary,other_religion,SVP,GR
4130,Nadine,Masshardt,30-39,f,big_city,single,tertiary,protestant,SP,BE
4144,Thomas,Matter,50-59,m,urban,married,secondary,unknown,SVP,ZH
4186,Lisa,Mazzone,30-39,f,big_city,unknown,tertiary,unknown,GPS,GE
4140,Giovanni,Merlini,50-59,m,urban,married,tertiary,unknown,FDP-Liberale,TI
4223,Fabian,Molina,below 29,m,big_city,single,tertiary,unknown,SP,ZH
